Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Response,Complain,Age,Total_Children,Customer_For_Years
PhD,Married,38175.0,1,0,6,70,6,69,0,3,3,3,3,1,4,7,0,0,42,1,13
Master,Single,46423.0,1,1,6,68,0,16,0,0,8,3,2,0,4,7,0,0,54,2,13
Master,Married,30560.0,1,0,6,0,1,0,0,5,7,1,1,0,3,7,0,0,50,1,13
Graduation,Single,60152.0,0,1,6,325,75,300,86,58,91,1,6,4,12,3,0,0,47,1,13
Graduation,Married,29672.0,1,1,6,0,1,0,0,4,8,1,0,0,3,6,0,0,61,2,13
Graduation,Married,70321.0,0,0,6,303,23,500,82,26,125,1,6,5,13,4,1,0,66,0,13
Graduation,Married,56181.0,0,1,6,121,75,69,0,44,48,1,4,2,7,4,0,0,64,1,13
Basic,Married,24279.0,0,0,6,16,36,21,20,62,108,1,4,1,3,8,0,0,36,0,14
PhD,Married,68462.0,0,0,6,500,64,500,84,65,48,1,3,3,8,1,0,0,57,0,14
PhD,Married,55424.0,0,1,6,462,61,184,10,53,107,4,7,5,9,6,1,0,50,1,14
Graduation,Married,49094.0,0,1,6,376,0,38,11,8,69,5,6,3,6,6,0,0,53,1,14
Master,Single,59184.0,0,1,6,341,75,113,100,65,66,3,6,6,12,5,0,0,65,1,14
Graduation,Married,67430.0,0,0,6,500,75,291,100,65,121,1,11,5,12,6,0,0,39,0,14
Master,Married,30522.0,0,1,6,179,8,83,19,11,26,5,1,2,9,2,0,0,66,1,14
Master,Single,31878.0,0,1,7,23,4,0,10,5,23,1,1,0,4,3,0,0,49,1,12
Graduation,Single,83528.0,0,0,7,500,75,500,100,44,125,1,4,10,8,1,1,0,34,0,12
Graduation,Married,90300.0,0,0,7,500,75,500,33,65,57,0,5,6,8,1,0,0,47,0,12
Master,Single,68092.0,0,0,7,500,60,207,78,36,48,2,2,6,10,5,0,0,48,0,13
Master,Married,53761.0,1,1,7,158,0,76,13,7,71,6,4,4,3,5,0,0,54,2,13
Graduation,Married,52845.0,1,0,7,384,25,292,100,41,64,3,8,8,6,6,0,0,53,1,13
Graduation,Married,24027.0,1,0,7,0,7,11,11,0,5,2,2,0,3,8,0,0,50,1,13
Master,Married,7500.0,1,0,7,0,8,11,0,8,21,4,3,2,2,7,0,0,47,1,13
Graduation,Married,42586.0,1,1,7,194,2,56,0,0,0,5,4,1,6,8,1,0,66,2,14
Basic,Married,9722.0,1,0,7,0,17,16,0,16,42,4,3,1,3,8,1,0,53,1,14
PhD,Married,86836.0,0,0,7,179,21,273,0,21,63,1,6,10,6,5,1,0,51,0,14
Graduation,Married,30467.0,1,0,8,0,3,0,0,5,5,1,1,0,2,7,0,0,54,1,12
PhD,Married,54549.0,0,1,8,216,2,0,0,0,9,2,5,1,4,7,0,0,66,1,12
Graduation,Married,19444.0,1,0,8,16,0,23,0,2,10,3,4,1,2,7,1,0,44,1,12
Master,Married,69245.0,0,1,8,428,30,214,80,30,61,2,6,5,10,3,0,0,66,1,12
PhD,Divorced,72968.0,0,0,8,500,37,500,100,37,55,1,5,5,8,3,1,0,63,0,13
Graduation,Married,48686.0,1,2,8,0,0,0,0,0,1,1,1,0,2,8,0,0,66,3,13
Graduation,Married,73687.0,0,0,8,500,75,500,100,13,125,1,3,9,9,2,1,0,36,0,13
PhD,Single,82716.0,0,0,8,500,75,228,15,65,22,1,6,8,13,2,0,0,66,0,13
Master,Married,35523.0,1,0,8,0,5,22,12,5,11,2,3,0,3,7,0,0,45,1,13
PhD,Divorced,60554.0,1,0,8,500,7,76,100,15,15,2,8,4,9,6,0,0,51,1,13
Graduation,Married,64090.0,0,1,8,316,58,161,76,51,125,1,6,9,4,5,1,0,66,1,13
Graduation,Single,61559.0,0,1,8,279,75,88,32,14,34,1,4,2,10,3,0,0,61,1,13
PhD,Single,71670.0,0,0,8,500,16,128,0,0,125,1,5,3,6,6,1,0,64,0,13
PhD,Single,67680.0,0,1,8,500,0,48,0,6,6,1,7,3,8,5,0,0,66,1,13
Graduation,Married,54386.0,0,1,8,277,21,64,62,21,25,2,3,2,10,3,0,0,45,1,13
PhD,Single,64108.0,0,1,8,500,10,86,13,21,21,4,6,9,11,5,0,0,66,1,13
PhD,Married,69702.0,0,1,8,500,9,240,50,19,57,2,7,7,10,4,0,0,66,1,13
Graduation,Single,47958.0,0,1,8,268,11,88,15,3,22,2,6,3,5,5,0,0,66,1,13
Graduation,Married,67716.0,0,1,8,500,75,217,62,9,56,4,7,4,13,5,0,0,66,1,13
Graduation,Married,34600.0,1,1,8,199,33,60,0,3,15,5,5,2,5,8,1,0,55,2,13
Graduation,Married,48752.0,1,1,8,73,57,100,71,15,0,5,6,1,5,9,1,0,57,2,14
Master,Married,15716.0,1,0,8,16,5,30,0,7,26,3,3,0,4,8,0,1,38,1,14
PhD,Divorced,46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,1,0,66,2,14
Graduation,Married,74985.0,0,0,8,500,51,500,100,0,86,1,3,6,7,2,0,0,49,0,14
PhD,Single,45576.0,0,0,9,56,19,29,0,14,25,1,3,1,3,8,1,0,66,0,12
Graduation,Single,57100.0,1,0,9,158,11,99,15,11,17,2,3,2,7,3,0,0,39,1,12
Graduation,Married,24434.0,2,0,9,0,2,0,20,0,17,2,2,1,2,7,0,0,54,2,12
PhD,Married,37126.0,1,0,9,45,3,0,0,4,7,1,1,2,2,6,1,0,55,1,12
Graduation,Single,45160.0,1,1,9,0,2,0,0,0,3,1,1,0,2,7,0,0,66,2,12
Graduation,Married,33178.0,1,0,9,0,6,0,11,2,16,1,1,0,3,4,0,0,49,1,12
Master,Single,64866.0,0,1,9,500,5,21,0,5,10,4,7,3,7,5,0,0,66,1,12
Master,Married,34176.0,0,1,9,0,2,0,0,2,2,1,1,0,3,3,0,0,51,1,12
Master,Single,50014.0,1,0,9,234,14,77,19,10,42,2,4,1,8,5,0,0,58,1,12
Graduation,Married,92344.0,0,0,9,500,24,500,51,19,119,0,5,10,5,1,0,0,66,0,12
Master,Divorced,55282.0,1,0,9,125,6,73,0,4,19,1,3,1,6,4,0,0,56,1,13
PhD,Divorced,48799.0,0,1,9,174,18,81,28,6,24,3,3,2,7,3,0,0,63,1,13
PhD,Married,84169.0,0,0,9,500,19,403,0,19,0,1,7,6,6,3,1,0,44,0,13
Master,Single,39763.0,1,0,9,80,1,60,0,6,16,2,5,1,2,9,1,0,55,1,13
PhD,Divorced,74165.0,0,0,9,500,12,240,16,12,12,1,5,4,10,2,0,0,51,0,13
Graduation,Single,42720.0,1,1,9,392,5,91,28,26,112,8,7,3,7,8,1,0,61,2,13
Graduation,Married,65275.0,0,0,9,388,14,218,91,14,21,1,4,3,13,2,0,0,66,0,13
Graduation,Married,36443.0,1,1,9,65,0,46,0,3,20,4,3,1,3,8,0,0,65,2,13
Master,Married,43776.0,1,1,9,177,2,71,0,2,20,6,5,2,4,8,1,0,66,2,13
Graduation,Married,56046.0,0,0,9,500,0,64,0,0,51,2,10,1,8,8,1,0,61,0,13
Graduation,Married,65148.0,0,1,9,460,35,422,33,12,125,2,6,6,7,4,0,0,66,1,14
Graduation,Divorced,49431.0,0,1,9,219,3,100,26,0,17,2,7,1,5,8,0,0,66,1,14
PhD,Married,32583.0,1,1,10,0,0,0,0,0,1,1,1,0,2,7,0,0,65,2,12
Master,Single,16653.0,1,0,10,0,7,31,15,4,7,3,2,1,3,6,1,0,47,1,12
Master,Married,26850.0,1,1,10,31,1,13,0,2,9,4,2,1,4,4,0,0,55,2,12
Graduation,Married,51287.0,1,1,10,117,0,22,13,0,30,3,4,1,3,7,0,0,58,2,12
Master,Married,43050.0,1,0,10,30,5,24,0,3,8,2,2,0,4,5,0,0,53,1,12
Graduation,Married,73448.0,0,0,10,236,75,189,23,41,125,1,7,2,9,4,0,0,57,0,12
Basic,Married,17256.0,1,0,10,0,4,14,0,8,22,2,2,1,2,8,0,0,34,1,13
Graduation,Single,86429.0,0,0,10,464,28,500,29,18,37,0,7,4,7,2,1,0,65,0,13
PhD,Married,33569.0,1,0,10,16,2,18,0,0,24,1,1,1,2,8,1,0,43,1,13
Master,Married,25130.0,1,0,10,0,5,0,0,18,18,2,2,0,3,7,0,0,46,1,13
Graduation,Married,62998.0,0,1,10,120,58,73,65,65,58,5,5,4,5,5,0,0,66,1,13
Master,Married,26907.0,1,1,10,0,1,0,0,3,2,2,1,0,3,7,0,0,50,2,13
PhD,Married,45579.0,0,1,10,145,1,33,0,1,1,1,4,1,4,6,0,0,66,1,13
Graduation,Married,47320.0,0,1,10,200,19,111,50,15,19,6,5,1,8,6,0,0,66,1,13
PhD,Divorced,70179.0,0,1,10,500,75,168,69,44,125,3,7,3,13,5,0,0,50,1,13
Master,Married,28072.0,1,0,10,30,0,10,0,0,5,1,1,0,3,7,0,0,40,1,13
Graduation,Married,50501.0,1,1,10,297,0,38,13,0,125,7,5,4,4,6,1,0,66,2,13
Graduation,Married,58917.0,1,2,10,151,7,89,0,7,28,5,4,1,6,5,0,0,57,3,13
Graduation,Married,69372.0,0,0,10,500,26,269,34,13,42,1,10,4,6,4,1,0,66,0,13
Master,Married,35178.0,1,0,10,23,1,13,0,2,18,1,1,1,2,7,1,0,55,1,13
Graduation,Divorced,75693.0,0,0,10,500,75,293,72,65,30,1,11,4,6,4,1,0,58,0,14
Graduation,Married,69109.0,0,0,10,500,25,459,100,29,95,1,6,6,7,4,1,0,44,0,14
Graduation,Married,80134.0,0,0,11,500,26,282,52,26,26,1,2,7,11,5,0,0,32,0,12
Graduation,Divorced,64713.0,1,0,11,180,60,241,13,54,54,2,5,5,7,4,1,0,56,1,12
Graduation,Divorced,41411.0,0,0,11,37,32,38,11,3,18,1,2,1,4,6,0,0,40,0,13
Graduation,Married,52247.0,1,0,11,0,5,0,0,2,1,1,1,0,2,7,0,0,43,1,13
PhD,Single,55521.0,1,2,11,416,0,26,0,0,4,9,6,3,6,7,1,0,66,3,13
Master,Married,43795.0,0,1,11,314,11,53,0,3,107,3,7,3,4,7,1,0,58,1,13
Graduation,Married,22070.0,1,0,11,0,7,19,0,2,21,2,2,2,2,6,0,0,56,1,13
Master,Married,36408.0,1,1,11,0,1,0,0,2,3,1,1,0,2,6,0,0,66,2,13
Graduation,Married,34026.0,1,1,11,18,6,15,12,8,17,3,2,1,3,5,0,0,66,2,13
Graduation,Married,46049.0,1,1,11,342,9,112,19,14,19,10,5,2,9,7,1,0,50,2,13
Master,Married,35641.0,1,0,11,63,3,67,0,9,28,2,3,1,4,7,1,0,54,1,13
Master,Married,32414.0,0,0,11,20,6,0,0,9,12,1,1,0,3,7,0,0,42,0,13
PhD,Married,59821.0,0,1,11,500,0,70,0,0,35,6,11,2,7,8,0,0,66,1,13
Graduation,Married,34968.0,1,0,11,158,6,45,0,2,2,7,3,2,5,7,0,0,46,1,13
PhD,Married,56320.0,0,1,11,201,53,172,100,65,83,3,5,4,9,4,0,0,59,1,13
Master,Married,70091.0,1,0,11,500,34,137,15,0,11,2,5,2,10,8,0,0,57,1,13
Graduation,Married,46097.0,0,1,11,72,24,68,65,4,8,5,3,1,6,4,0,0,66,1,13
PhD,Divorced,41003.0,0,0,11,123,75,142,71,44,88,1,6,2,8,6,0,0,63,0,13
Graduation,Married,44911.0,0,1,11,159,0,22,0,1,31,3,4,1,4,7,0,0,66,1,13
Graduation,Single,33249.0,1,0,11,0,10,21,19,14,42,2,2,1,3,6,0,0,51,1,13
PhD,Divorced,42873.0,1,1,11,209,0,40,0,2,15,4,6,1,4,8,0,0,66,2,13
PhD,Married,51039.0,1,1,11,100,64,79,65,0,109,2,6,2,4,7,0,0,57,2,14
PhD,Married,78952.0,0,1,11,500,19,500,99,65,125,2,2,5,12,6,0,0,66,1,14
Master,Divorced,29435.0,1,1,11,70,3,37,0,2,64,4,3,2,2,9,1,0,60,2,14
Graduation,Divorced,79865.0,0,1,12,71,75,278,100,65,38,1,5,10,5,1,0,0,66,1,12
Graduation,Single,34176.0,1,0,12,0,7,24,19,14,20,4,3,0,4,6,0,0,38,1,12
PhD,Married,65968.0,0,1,12,376,9,83,19,4,4,2,5,4,7,3,0,0,56,1,12
Master,Single,86424.0,0,0,12,387,68,500,89,45,68,1,6,9,12,1,0,0,66,0,12
Graduation,Divorced,67272.0,0,1,12,357,35,271,28,28,14,3,6,2,12,5,0,0,60,1,13
Graduation,Single,78499.0,0,0,12,500,72,170,47,36,97,1,11,3,4,4,1,0,66,0,13
Graduation,Married,77044.0,0,1,12,500,38,242,50,34,76,2,7,11,11,4,0,0,54,1,13
Graduation,Single,70515.0,0,0,12,420,0,452,100,64,125,1,6,6,4,2,1,0,33,0,13
Master,Married,17459.0,1,0,12,0,4,16,0,10,30,3,3,1,2,7,1,0,51,1,13
PhD,Married,80336.0,0,0,12,209,19,456,100,65,66,1,2,9,13,1,0,0,56,0,13
